ADP CHNG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/08,9/30/08,10/30/08,11/30/08,12/30/08,1/30/09,2/28/09,3/30/09,4/30/09,5/30/09,6/30/09,7/30/09,8/30/09,9/30/09,10/30/09,11/30/09,12/30/09,1/30/10,2/28/10,3/30/10,4/30/10,5/30/10,6/30/10,7/30/10,8/30/10,9/30/10,10/30/10,11/30/10,12/30/10,1/30/11,2/28/11,3/30/11,5/30/11,6/30/11,7/30/11,8/30/11,10/30/11,11/30/11,12/30/11,1/30/12,2/29/12,3/30/12,4/30/12,5/30/12,7/30/12,8/30/12,9/30/12,10/30/12,11/30/12,12/30/12,1/30/13,2/28/13,3/30/13,4/30/13,5/30/13,6/30/13,7/30/13
Actual Direction,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,0,1,-1,1,1,-1,1,1,1,1,1,-1,1,0,1,-1,-1,-1,1
 BNP Paribas,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Briefing.com,0,0,0,0,0,0,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,-1,1,1,1,-1,1,-1,1,0,-1,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
 Goldman Sachs & Co.,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Intesa Sanpaolo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
 Merrill Lynch/BAS,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Chan JPMorgan's Private Wealth Man.,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastian Hepperle WestLB AG,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,0,1,-1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,-1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,1,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,0,1,-1,-1,-1,-1
Beth Ann Bovino Standard & Poor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Cheney John Hancock Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,-1,1,0,1,-1,0,0,0
Brian M. Jones Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,1
Christian Reicherter DZ Bank,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,1,0,1,0,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0
