,8/14/09,9/14/09,10/14/09,11/14/09,12/14/09,1/14/10,2/14/10,3/14/10,4/14/10,5/14/10,6/14/10,7/14/10,8/14/10,9/14/10,10/14/10,11/14/10,12/14/10,1/14/11,2/14/11,3/14/11,4/14/11,5/14/11,6/14/11,7/14/11,8/14/11,9/14/11,10/14/11,11/14/11,12/14/11,1/14/12,2/14/12,3/14/12,4/14/12,5/14/12,6/14/12,7/14/12,8/14/12,9/14/12,10/14/12,11/14/12,12/14/12,1/14/13,2/14/13,3/14/13,4/14/13,5/14/13,6/14/13,7/14/13
 Bancolombia SA,0,0,0,0,0,0,0,-1,-1,-1,1,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BNP Paribas,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Goldman, Sachs & Co.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Intesa Sanpaolo,-1,1,1,1,1,-1,0,-1,-1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RBC Capital Markets,-1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan von Mehren Danske Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annalisa Piazza Newedge,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bastian Hepperle WestLB AG,-1,1,1,1,1,-1,-1,0,0,0,1,-1,0,1,-1,-1,1,1,1,1,0,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer/Heidrich/Riefer Deutsche Postbank AG,0,0,-1,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
Beatriz Tejero Ibersecurities,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,-1,-1,1,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,-1,1,-1,0,1,-1,-1,0,-1,-1,0,0,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,0,-1,-1,-1,0,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Besch/Luetje DekaBank,0,1,1,1,1,0,-1,-1,-1,-1,1,-1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
