CPUPXCHG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/16/2008,8/16/2008,9/16/2008,10/16/2008,11/16/2008,12/16/2008,1/16/2009,2/16/2009,3/16/2009,4/16/2009,5/16/2009,6/16/2009,7/16/2009,8/16/2009,9/16/2009,10/16/2009,11/16/2009,12/16/2009,1/16/2010,2/16/2010,3/16/2010,4/16/2010,5/16/2010,6/16/2010,7/16/2010,8/16/2010,9/16/2010,10/16/2010,11/16/2010,12/16/2010,1/16/2011,2/16/2011,3/16/2011,4/16/2011,5/16/2011,6/16/2011,7/16/2011,8/16/2011,9/16/2011,10/16/2011,11/16/2011,12/16/2011,1/16/2012,2/16/2012,3/16/2012,4/16/2012,5/16/2012,6/16/2012,7/16/2012,8/16/2012,9/16/2012,10/16/2012,11/16/2012,12/16/2012,1/16/2013,2/16/2013,3/16/2013,4/16/2013,5/16/2013,6/16/2013,7/16/2013
Actual Direction,1,1,0,-1,-1,-1,-1,1,1,1,1,0,1,0,0,1,1,-1,0,-1,0,-1,-1,0,1,0,-1,-1,-1,0,0,1,1,-1,0,1,1,0,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,0,0
 Allianz Dresdner Economic,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BNP Paribas,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Briefing.com,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,0,-1,0,-1,0
 Castle Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
 Goldman Sachs & Co.,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1
 Intesa Sanpaolo,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1
 Merrill Lynch/BAS,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MET Capital Advisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
