,2/17/10,3/17/10,4/17/10,5/17/10,6/17/10,7/17/10,8/17/10,9/17/10,10/17/10,11/17/10,12/17/10,1/17/11,2/17/11,3/17/11,4/17/11,5/17/11,6/17/11,7/17/11,8/17/11,9/17/11,10/17/11,11/17/11,12/17/11,1/17/12,2/17/12,3/17/12,4/17/12,5/17/12,6/17/12,7/17/12,8/17/12,9/17/12,10/17/12,11/17/12,12/17/12,1/17/13,2/17/13,3/17/13,4/17/13,5/17/13,6/17/13,7/17/13
 Briefing.com,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0
 Castle Financial,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
 Intesa Sanpaolo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,1,-1,-1,-1,-1
Allan von Mehren Danske Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
Bantleon Bank AG Bantleon Bank AG,-1,0,0,0,-1,-1,-1,0,0,-1,-1,1,0,-1,0,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,-1
Bastian Hepperle WestLB AG,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer/Heidrich/Riefer Deutsche Postbank AG,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatriz Tejero Ibersecurities,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,1,0,0,-1,0,0,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,1,1,-1,-1,0,-1,0,-1,0,-1,0
Besch/Luetje DekaBank,-1,1,1,-1,0,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1
