RSTAXAG% Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2009,9/13/2009,10/13/2009,11/13/2009,12/13/2009,1/13/2010,2/13/2010,3/13/2010,4/13/2010,5/13/2010,6/13/2010,7/13/2010,8/13/2010,9/13/2010,10/13/2010,11/13/2010,12/13/2010,1/13/2011,2/13/2011,3/13/2011,4/13/2011,5/13/2011,6/13/2011,7/13/2011,8/13/2011,9/13/2011,10/13/2011,11/13/2011,12/13/2011,1/13/2012,2/13/2012,3/13/2012,4/13/2012,5/13/2012,6/13/2012,7/13/2012,8/13/2012,9/13/2012,10/13/2012,11/13/2012,12/13/2012,1/13/2013,2/13/2013,3/13/2013,4/13/2013,5/13/2013,6/13/2013,7/13/2013
,-1,1,1,0,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,0,-1
" Goldman, Sachs & Co.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RBC Capital Markets,0,0,0,0,0,-1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan von Mehren Danske Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,1,-1,1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bantleon Bank AG Bantleon Bank AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Besch/Luetje DekaBank,0,0,-1,0,-1,0,1,1,1,1,-1,1,0,1,0,0,-1,1,-1,1,1,-1,1,-1,0,-1,1,0,-1,-1,1,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,1,-1,-1
