,7/26/12,8/26/12,9/26/12,10/26/12,11/26/12,12/26/12,1/26/13,2/26/13,3/26/13,4/26/13,5/26/13,6/26/13,7/26/13,,,,,
 Briefing.com,1,1,1,-1,1,-1,1,0,-1,0,0,0,0,,,,,
 DZ Bank,0,0,0,0,0,0,0,0,0,0,-1,-1,1,,,,,
 Intesa Sanpaolo,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Bernd Krampen Nord/LB,0,0,-1,0,0,-1,-1,0,1,-1,-1,-1,-1,,,,,
Bill Cheney John Hancock Financial,1,1,1,1,1,-1,1,0,1,-1,0,0,0,,,,,
Brian M. Jones Societe Generale,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,1,,,,,
Christian Reicherter DZ Bank,0,1,-1,1,0,0,0,0,0,0,0,0,0,,,,,
Christiane Von Berg Bayerische Landesbank,0,0,0,0,0,0,1,0,1,-1,0,-1,-1,,,,,
Christoph Schroeter Bayerische Landesbank,1,1,1,-1,1,-1,0,0,0,0,0,0,0,,,,,
David Milleker Union Investment,0,-1,-1,0,-1,0,1,0,0,0,-1,-1,0,,,,,
David Resler Nomura Securities Intl.,-1,-1,0,1,0,0,0,0,0,0,0,0,0,,,,,
David Semmens Standard Chartered,1,1,1,1,1,-1,1,0,0,0,0,0,0,,,,,
Derek Holt Scotiabank,-1,1,1,-1,1,-1,1,0,1,-1,-1,-1,1,,,,,
Dirk Chlench Landesbank BW,1,-1,-1,-1,-1,0,1,0,1,-1,-1,-1,1,,,,,
Douglas Porter BMO Capital Markets,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,,,,,
E. Green/M. Mulraine TD Securities,1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1,,,,,
Ellen Zentner Nomura Securities Intl.,0,0,0,0,-1,-1,1,0,1,-1,-1,-1,0,,,,,
Ethan Harris BofA Merrill Lynch Research,1,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1,,,,,
Gabriel Casillas Banorte-IXE,0,0,0,0,1,-1,1,0,1,-1,-1,-1,-1,,,,,
Gareth Ryan Iur Capital Llc,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
Hiroki Shimazu SMBC Nikko Securities,1,1,1,0,1,-1,1,0,1,-1,-1,-1,1,,,,,
Hugh Johnson Hugh Johnson Advisors,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,,,,,
Ian Shepherdson High Frequency Economics,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ian Shepherdson Pantheon Macroeconomics,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,,,,,
James Shugg Westpac Banking Co.,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,,,,,
Jeavon Lolay Lloyds Bank Wbm,0,1,1,1,-1,-1,1,0,1,0,0,0,0,,,,,
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,1,,,,,
Jim O'Sullivan High Frequency Economics,0,0,-1,1,-1,-1,1,0,1,-1,-1,-1,1,,,,,
Joe LaVorgna Deutsche Bank Securities,1,0,1,-1,-1,-1,1,0,-1,-1,0,-1,-1,,,,,
Joerg Angele Raiffeisenbank International,0,1,1,1,-1,-1,1,0,-1,-1,-1,0,-1,,,,,
Julia Coronado BNP Paribas,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1,,,,,
Kevin Harris Informa Global Markets,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,0,,,,,
Knightley/Carnell/Brosens ING Financial Markets,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,0,,,,,
Markus Schomer PineBridge Investments,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
Max Clarke IDEAglobal,1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1,,,,,
Mike Englund Action Economics,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,,,,,
Mufteeva/Julien Natixis,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,,,,,
Nathaniel Karp BBVA,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,,,,,
Neil Dutta Renaissance Macro Research,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1,,,,,
P. de Bruin/M. Cabezas ABN Amro Inc.,1,1,1,-1,1,-1,1,0,-1,0,0,-1,1,,,,,
Peter Morici University of Maryland,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,,,,,
Rhys Herbert Lloyds Tsb Bank Plc,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,,,,,
Robert Brusca Fact & Opinion Economics,0,0,0,0,0,0,-1,0,0,-1,0,0,0,,,,,
Russell Price Ameriprise Financial Inc,-1,1,-1,-1,1,-1,1,0,1,-1,-1,-1,1,,,,,
Ryan Wang HSBC Markets,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,,,,,
Scott Anderson Bank of the West,0,0,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,,,,,
Scott Brown Raymond James,1,1,1,-1,1,0,1,0,-1,-1,-1,-1,1,,,,,
Sherry Cooper BMO Capital Markets,-1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,,,,,
Sloan/Incremona 4CAST Ltd.,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,,,,,
Smith/Sweet Moody's Analytics,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,
Steven Ricchiuto Mizuho Securities,0,0,1,0,0,-1,1,0,0,-1,-1,-1,-1,,,,,
